Actividad,Línea_Servicio,ESPACIO_ACTIVIDAD,Asistencias,Rangos_Edad,LUGAR
INFORMACION LOCAL (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
INFORMACION LOCAL (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
BIBLIOGESTANDO FUTURO (RECURRENTE),ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,SALA INFANTIL,4,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
BIBLIOGESTANDO FUTURO (RECURRENTE),ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,SALA INFANTIL,4,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,2,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
ISLA LIBRO (RECURRENTE),ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
ISLA LIBRO (RECURRENTE),ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,SALA INFANTIL,5,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
ISLA LIBRO (RECURRENTE),ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,SALA INFANTIL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
ISLA LIBRO (RECURRENTE),ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,SALA INFANTIL,3,ADULTOS (29 A 59 AÑOS),CENTRO
ISLA LIBRO (RECURRENTE),ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,SALA INFANTIL,2,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
RENOVACION DE MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
APRENDE A EXPLORAR FUENTES DE INFORMACION (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA DE SISTEMAS,2,JÓVENES (18 A 28 AÑOS),CENTRO
APRENDE A EXPLORAR FUENTES DE INFORMACION (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA DE SISTEMAS,3,ADULTOS (29 A 59 AÑOS),CENTRO
APRENDE A EXPLORAR FUENTES DE INFORMACION (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA DE SISTEMAS,2,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
INFORMACION LOCAL (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
INFORMACION LOCAL (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
INFORMACION LOCAL (REAL),FORMACIÓN DE USUARIOS / ALFABETIZACIÓN INFORMACIONAL,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
ORIENTACION ACADEMICA (RECURRENTE),REFERENCIA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,JÓVENES (18 A 28 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (RECURRENTE),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
AFILIACION DE USUARIOS,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
RENOVACION DE MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
RENOVACION DE MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
RENOVACION DE MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,3,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,6,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
